data_i	kod_k	kod_u
01.03.2019	AM	145
01.03.2019	AR	804
01.03.2019	AT	12632
01.03.2019	BE	12632
01.03.2019	BR	5126
01.03.2019	CA	4989
01.03.2019	CL	4881
01.03.2019	CZ	5134
01.03.2019	DE	5131
01.03.2019	DE	5116
01.03.2019	DE	527
01.03.2019	DE	7711
01.03.2019	DE	9434
01.03.2019	DE	9451
01.03.2019	ES	891
01.03.2019	FR	9545
01.03.2019	FR	11386
01.03.2019	FR	11974
01.03.2019	IL	12010
01.03.2019	IN	15536
01.03.2019	IN	8581
01.03.2019	IR	1307
01.03.2019	IT	11528
01.03.2019	PE	10943
01.03.2019	PH	10943
01.03.2019	PL	10943
01.03.2019	PL	11731
01.03.2019	PL	11006
01.03.2019	PL	11656
01.03.2019	PT	11911
01.03.2019	RO	11635
01.03.2019	RU	11846
01.03.2019	RU	11206
01.03.2019	RU	11108
01.03.2019	SA	7495
01.03.2019	UA	15169
01.03.2019	US	11261
01.03.2019	US	4184
01.03.2019	US	11508
01.03.2019	US	11634
01.03.2019	US	11634
01.03.2019	US	11634
01.03.2019	US	11119
01.03.2019	US	15158
01.03.2019	US	15188
01.03.2019	US	11917
02.03.2019	AR	11161
02.03.2019	BD	14501
02.03.2019	CA	13209
02.03.2019	CA	13209
02.03.2019	CH	2069
02.03.2019	CH	12718
02.03.2019	DE	5097
02.03.2019	ES	5120
02.03.2019	FR	4895
02.03.2019	FR	5008
02.03.2019	FR	5061
02.03.2019	FR	5061
02.03.2019	GB	4979
02.03.2019	GB	4939
02.03.2019	ID	4921
02.03.2019	ID	4894
02.03.2019	IE	8001
02.03.2019	IL	9444
02.03.2019	IN	9444
02.03.2019	IQ	11998
02.03.2019	IR	56
02.03.2019	IT	15536
02.03.2019	IT	5043
02.03.2019	IT	11528
02.03.2019	JP	7262
02.03.2019	PH	7191
02.03.2019	PL	15114
02.03.2019	RU	12015
02.03.2019	RU	12019
02.03.2019	RU	11006
02.03.2019	US	11935
02.03.2019	US	12031
02.03.2019	US	8595
02.03.2019	US	11296
02.03.2019	US	11299
02.03.2019	US	4785
02.03.2019	US	11349
02.03.2019	US	11635
02.03.2019	US	11270
02.03.2019	US	8629
02.03.2019	US	7353
02.03.2019	US	15190
02.03.2019	US	7335
02.03.2019	US	15136
02.03.2019	US	11505
02.03.2019	US	11508
02.03.2019	US	11508
02.03.2019	ZA	15188
02.03.2019	ZA	15188
03.03.2019	AR	6824
03.03.2019	AU	1014
03.03.2019	BR	9240
03.03.2019	BR	5022
03.03.2019	BR	5071
03.03.2019	BY	5119
03.03.2019	CA	4894
03.03.2019	CA	9785
03.03.2019	CA	9444
03.03.2019	CU	10706
03.03.2019	CZ	10939
03.03.2019	CZ	13440
03.03.2019	DE	6826
03.03.2019	DE	15742
03.03.2019	DE	10945
03.03.2019	DE	8581
03.03.2019	DE	8630
03.03.2019	ES	4186
03.03.2019	ES	11891
03.03.2019	FR	10943
03.03.2019	FR	10943
03.03.2019	FR	10941
03.03.2019	FR	10941
03.03.2019	GB	10942
03.03.2019	IN	11290
03.03.2019	IN	11006
03.03.2019	IN	11497
03.03.2019	IT	11935
03.03.2019	IT	11288
03.03.2019	JP	11288
03.03.2019	KH	11296
03.03.2019	MX	11656
03.03.2019	MX	11656
03.03.2019	MY	11656
03.03.2019	NL	11105
03.03.2019	NL	11484
03.03.2019	OM	11310
03.03.2019	PH	7492
03.03.2019	PL	11443
03.03.2019	PL	4208
03.03.2019	RO	3455
03.03.2019	RU	8615
03.03.2019	TH	4492
03.03.2019	US	15164
03.03.2019	US	15166
03.03.2019	US	11505
03.03.2019	US	11505
03.03.2019	US	15181
03.03.2019	US	15188
03.03.2019	US	7445
03.03.2019	US	11161
03.03.2019	US	805
03.03.2019	US	9237
03.03.2019	US	2620
03.03.2019	US	12796
