kod_u	nazwa_u	producent_u	typ_u
804	ZenFone Max Pro M1 (ZB602KL) (WW) / Max Pro M1 (ZB601KL) (IN)	Asus	Phone
1898	BQ-5201	BQru	Phone
4941	Y7 Prime 2019	Huawei	Phone
5131	Y7	Huawei	Phone
4949	GX8	Huawei	Phone
10736	realme 2 Pro	Realme	Phone
8608	Moto E (4) Plus	Motorola	Phone
11210	Galaxy J7	Samsung	Phone
11508	Galaxy S9+	Samsung	Phone
15696	BOLTON	ZTE	Phone
11201	Galaxy J7+	Samsung	Phone
11908	Galaxy J3 Prime	Samsung	Phone
7447	V40 ThinQ	LGE	Phone
7308	LG G Stylo	LGE	Phone
8656	Moto G (1st Gen)	Motorola	Phone
7103	P2	Lenovo	Phone
7302	LG it	LGE	Phone
5093	HUAWEI MediaPad T3 10	Huawei	Tablet
15130	MIX 2S	Xiaomi	Phone
11217	Galaxy XCover4	Samsung	Phone
5051	M3	Huawei	Phone
1016	ZenFone Lite L1 (ZA551KL) / ZenFone Live L1/L2 (ZA550KL)	Asus	Phone
5118	MediaPad T3 7	Huawei	Phone
10920	Galaxy Grand Prime	Samsung	Phone
15115	MI6	Xiaomi	Phone
1779	Aquaris X Pro	bq	Phone
6475	DuraForce PRO	Kyocera	Phone
963	ZenPad 3S 10 (Z500M)	Asus	Tablet
4947	G7-L01	Huawei	Phone
11332	Galaxy J2 Prime	Samsung	Phone
11514	Galaxy J2	Samsung	Phone
6860	TAB S8-50LC	Lenovo	Tablet
10926	Galaxy Grand Prime	Samsung	Phone
11826	Galaxy Note2	Samsung	Phone
15189	Redmi Note 4	Xiaomi	Phone
7304	L90	LGE	Phone
68	Iconia One 8	Acer	Tablet
7274	LG K9	LGE	Phone
15158	Redmi 5 Plus	Xiaomi	Phone
11661	Galaxy Tab A 8.0	Samsung	Tablet
2607	CUBOT R11	Cubot	Phone
11859	Galaxy J7(2016)	Samsung	Phone
2509	C103	Coolpad	Phone
11876	Galaxy S5 LTE-A	Samsung	Phone
11214	Galaxy J7 Prime	Samsung	Phone
11119	Galaxy Note4	Samsung	Phone
11124	Galaxy Note4	Samsung	Phone
6688	Z91	Lava	Phone
12556	Xperia Z3+	Sony	Phone
6667	Z60	Lava	Phone
12729	Xperia XZ	Sony	Phone
12017	Galaxy S8+	Samsung	Phone
6792	TAB 2 A10	Lenovo	Tablet
4997	Mate 10 Pro	Huawei	Phone
11594	Galaxy Note5	Samsung	Phone
12720	Xperia Z Ultra	Sony	Phone
8620	Moto E (4)	Motorola	Phone
13572	CAMON 11	Tecno	Phone
11988	Galaxy Tab A 7.0	Samsung	Phone
4992	Honor 9 Lite	Huawei	Phone
15166	Redmi 4X	Xiaomi	Phone
4729	10X	HTC	Phone
11648	Galaxy S7	Samsung	Phone
14423	vivo 1726	Vivo	Phone
9098	Neffos Y5s	Neffos	Phone
11930	Galaxy J3 Aura	Samsung	Phone
3617	FP2	Fairphone	Phone
7044	K5	Lenovo	Phone
7425	LG G Flex2	LGE	Phone
11086	Galaxy J1 Ace	Samsung	Phone
4686	One Google Play edition	HTC	Phone
10945	Galaxy A9 Pro	Samsung	Phone
5982	A62	Itel	Phone
15521	V831W	ZTE	Phone
9364	Shield	NVIDIA	Phone
11281	Galaxy E7	Samsung	Phone
8629	moto g(6) play	Motorola	Phone
8001	M6T	Meizu	Phone
15748	Blade X Max	ZTE	Phone
15529	ZTE Tempo X	ZTE	Phone
5022	P20 lite	Huawei	Phone
11276	Galaxy J7 V	Samsung	Phone
4964	GR3	Huawei	Phone
10727	RCT6873W42M	RCA	Tablet
7709	LS-4503	Lyf	Phone
15167	Mi 5	Xiaomi	Phone
11381	Galaxy J3 Pop	Samsung	Phone
15208	Redmi 6Pro	Xiaomi	Phone
5262	Ultra Storm	Hyundai	Phone
11100	Galaxy Note 10.1 2014 Edition	Samsung	Tablet
11166	Galaxy S6	Samsung	Phone
12744	Xperia XZ1	Sony	Phone
11929	Chromebook Plus (V2)	Samsung	PC
11940	Galaxy S10+	Samsung	Phone
11308	Galaxy S7 Edge	Samsung	Phone
11194	Galaxy Tab3 VE 7.0	Samsung	Tablet
4888	P20 Pro	Huawei	Phone
15182	POCO F1	Xiaomi	Phone
15140	Mi A2	Xiaomi	Phone
12587	Xperia L1	Sony	Phone
12717	Xperia XZ Premium	Sony	Phone
8193	Bolt	Micromax	Phone
11240	Galaxy Xcover3	Samsung	Phone
11897	Galaxy Ace4	Samsung	Phone
6582	Ilium X510	Lanix	Phone
12410	PLATINUM_E5	Sky Devices	Phone
6549	Ilium L1120	Lanix	Phone
12749	Xperia XA2	Sony	Phone
4739	HTC U11 life	HTC	Phone
11383	Galaxy J3 Pop	Samsung	Phone
11846	Galaxy J6	Samsung	Phone
13965	Ulefone_S7	Ulefone	Phone
15451	ZTE BLADE V Ultra Z982	ZTE	Phone
11301	Galaxy S7 edge	Samsung	Phone
13150	i20	Symphony	Phone
12626	Xperia Z5	Sony	Phone
4184	Pixel	Google	Phone
7393	G2 MINI	LGE	Phone
8529	moto e(5) cruise	Motorola	Phone
11853	Galaxy Tab3V 7.0	Samsung	Tablet
8558	Moto E (5)	Motorola	Phone
8530	Nexus 6	Motorola	Phone
6826	YOGA Tab 3 10	Lenovo	Tablet
11030	Galaxy S6 Edge	Samsung	Phone
10979	Galaxy J3	Samsung	Phone
15536	ZTE A2017G	ZTE	Phone
15193	Redmi 6A	Xiaomi	Phone
12403	pro selfie	Sky Devices	Phone
5134	Mate 20 lite	Huawei	Phone
10994	Galaxy A3	Samsung	Phone
15782	Z963VL	ZTE	Phone
11384	Galaxy J3 Pop	Samsung	Phone
7212	LG Stylo 2	LGE	Phone
11970	Galaxy A5	Samsung	Phone
12718	Xperia XZ Premium	Sony	Phone
10942	Galaxy S8	Samsung	Phone
7219	LG Stylo 4	LGE	Phone
3942	4G	General Mobile	Phone
988	ZenFone 3 Max (ZC520TL)	Asus	Phone
11784	Galaxy Alpha	Samsung	Phone
15196	MI MAX	Xiaomi	Phone
4931	P10 Plus	Huawei	Phone
1633	R1 HD	Blu	Phone
9439	2B	OnePlus	Phone
13209	REVVL 2	T-Mobile	Phone
11436	Galaxy J7 Pop	Samsung	Phone
10918	Galaxy Grand Prime	Samsung	Phone
5125	HUAWEI Y9 2018	Huawei	Phone
7233	LG Leon	LGE	Phone
7453	LG G Pad IV 8.0 FHD LTE	LGE	Tablet
11171	Galaxy S6	Samsung	Phone
6447	DuraForce PRO 2 with Sapphire shield	Kyocera	Phone
9508	CPH1723	Oppo	Phone
11598	Galaxy Note5	Samsung	Phone
11731	Galaxy Tab3 Lite 7.0	Samsung	Tablet
12740	Xperia XZ1	Sony	Phone
4826	One (M8)	HTC	Phone
9809	A5000	Packard Bell	Phone
5233	Ultra Active	Hyundai	Phone
11458	Galaxy Tab4 7.0	Samsung	Tablet
11911	Galaxy J3(2017)	Samsung	Phone
12909	SSB504R	SSB PHONES	Phone
4960	P10 lite	Huawei	Phone
7496	LG X charge	LGE	Phone
64	Iconia Tab 8	Acer	Tablet
7372	LG K20 Plus	LGE	Phone
15192	Redmi 3	Xiaomi	Phone
12737	Xperia E4 Dual	Sony	Phone
15212	MI 5s Plus	Xiaomi	Phone
11891	Galaxy S8 Active	Samsung	Phone
11110	Galaxy A5(2017)	Samsung	Phone
11304	Galaxy S7 Edge	Samsung	Phone
13425	ELEMENT5	TCT (Alcatel)	Phone
11523	Galaxy Note9	Samsung	Phone
902	ZenFone 4 Max (ZC554KL)	Asus	Phone
11571	SM-J337AZ	Samsung	Phone
10964	Galaxy Tab S2	Samsung	Tablet
4890	Honor 10	Huawei	Phone
11143	Galaxy Tab4 8.0	Samsung	Tablet
13998	U452TL	Umax	Phone
15122	MI 5X	Xiaomi	Phone
4903	LISZT	Huawei	Tablet
11443	Galaxy S5 mini	Samsung	Phone
7234	Nexus 5	LGE	Phone
8610	Motorola one	Motorola	Phone
15410	Z812	ZTE	Phone
15153	MI 8 Lite	Xiaomi	Phone
9438	OnePlus5T	OnePlus	Phone
8852	my28S	Myphone	Phone
10943	Galaxy S8	Samsung	Phone
13734	hudl 2	Tesco	Tablet
8628	moto g(6) play	Motorola	Phone
4780	Desire 830 dual sim	HTC	Phone
11658	Galaxy Tab A 8.0	Samsung	Tablet
13208	REVVL 2 PLUS	T-Mobile	Phone
979	ZenFone 5 (ZE620KL)	Asus	Phone
12564	Xperia Z5 Premium	Sony	Phone
8254	Clover	Mint	Phone
7086	Lenovo TAB3 7 Essential	Lenovo	Tablet
11431	Galaxy J7 Neo	Samsung	Phone
4979	HUAWEI P smart 2019	Huawei	Phone
11964	Galaxy Note3 Neo	Samsung	Phone
11382	Galaxy J3 Pop	Samsung	Phone
8614	moto e5 play	Motorola	Phone
7006	P70	Lenovo	Phone
9565	realme C1	Oppo	Phone
8665	Moto Z Play	Motorola	Phone
11645	Galaxy S7	Samsung	Phone
6791	TAB 2 A10	Lenovo	Tablet
11401	Galaxy A6	Samsung	Phone
15199	MIX 2	Xiaomi	Phone
5083	HUAWEI MediaPad M5 Pro	Huawei	Tablet
11573	Galaxy TabS 10.5	Samsung	Tablet
11005	Galaxy Note8	Samsung	Phone
11347	Galaxy J3(2016)	Samsung	Phone
11184	Galaxy S3 Neo	Samsung	Phone
