Data_godzina	Pobor_[kWh]	Generowanie_[kWh]
01.01.2020 01:00	0,367	0
01.01.2020 02:00	0,485	0
01.01.2020 03:00	0,299	0
01.01.2020 04:00	0,453	0
01.01.2020 05:00	0,409	0
01.01.2020 06:00	0,542	0
01.01.2020 07:00	0,416	0
01.01.2020 08:00	0,453	0
01.01.2020 09:00	0,35	0,001
01.01.2020 10:00	0,22	0,02
01.01.2020 11:00	0,178	0,07
01.01.2020 12:00	0,084	0,158
01.01.2020 13:00	0,25	0,165
01.01.2020 14:00	0,175	0,238
01.01.2020 15:00	2,057	0,129
01.01.2020 16:00	1,051	0
01.01.2020 17:00	2,179	0
01.01.2020 18:00	1,29	0
01.01.2020 19:00	1,144	0
01.01.2020 20:00	0,642	0
01.01.2020 21:00	0,854	0
01.01.2020 22:00	0,976	0
01.01.2020 23:00	0,893	0
01.01.2020 00:00	0,813	0
02.01.2020 01:00	0,84	0
02.01.2020 02:00	0,314	0
02.01.2020 03:00	0,421	0
02.01.2020 04:00	0,305	0
02.01.2020 05:00	0,372	0
02.01.2020 06:00	0,361	0
02.01.2020 07:00	0,337	0
02.01.2020 08:00	0,488	0
02.01.2020 09:00	0,216	0,127
02.01.2020 10:00	0	0,798
02.01.2020 11:00	0	1,576
02.01.2020 12:00	0,766	1,767
02.01.2020 13:00	0,068	2,302
02.01.2020 14:00	0,033	1,57
02.01.2020 15:00	0,078	0,597
02.01.2020 16:00	0,537	0,13
02.01.2020 17:00	0,778	0
02.01.2020 18:00	0,797	0
02.01.2020 19:00	0,833	0
02.01.2020 20:00	2,596	0
02.01.2020 21:00	0,814	0
02.01.2020 22:00	0,702	0
02.01.2020 23:00	0,835	0
02.01.2020 00:00	1,007	0
03.01.2020 01:00	0,589	0
03.01.2020 02:00	0,335	0
03.01.2020 03:00	0,367	0
03.01.2020 04:00	0,344	0
03.01.2020 05:00	0,32	0
03.01.2020 06:00	0,357	0
03.01.2020 07:00	0,366	0
03.01.2020 08:00	0,287	0
03.01.2020 09:00	0,094	0,378
03.01.2020 10:00	0,087	1,922
03.01.2020 11:00	0,94	1,893
03.01.2020 12:00	0,389	2,47
03.01.2020 13:00	0,248	2,28
03.01.2020 14:00	0	1,794
03.01.2020 15:00	0,021	0,586
03.01.2020 16:00	0,264	0,019
03.01.2020 17:00	1,087	0
03.01.2020 18:00	0,671	0
03.01.2020 19:00	0,803	0
03.01.2020 20:00	1,916	0
03.01.2020 21:00	0,769	0
03.01.2020 22:00	1	0
03.01.2020 23:00	0,929	0
03.01.2020 00:00	0,729	0
04.01.2020 01:00	0,518	0
04.01.2020 02:00	0,413	0
04.01.2020 03:00	0,28	0
04.01.2020 04:00	0,402	0
04.01.2020 05:00	0,317	0
04.01.2020 06:00	0,319	0
04.01.2020 07:00	0,612	0
04.01.2020 08:00	0,348	0
04.01.2020 09:00	0,127	0,453
04.01.2020 10:00	0,016	0,596
04.01.2020 11:00	0,415	0,269
04.01.2020 12:00	1,069	0,156
04.01.2020 13:00	0,87	0,085
04.01.2020 14:00	0,275	0,133
04.01.2020 15:00	0,962	0,011
04.01.2020 16:00	1,221	0
04.01.2020 17:00	1,948	0
04.01.2020 18:00	2,385	0
04.01.2020 19:00	1,152	0
04.01.2020 20:00	0,809	0
04.01.2020 21:00	0,883	0
04.01.2020 22:00	0,907	0
04.01.2020 23:00	0,791	0
04.01.2020 00:00	1,352	0
05.01.2020 01:00	1,381	0
05.01.2020 02:00	0,375	0
05.01.2020 03:00	0,355	0
05.01.2020 04:00	0,34	0
05.01.2020 05:00	0,445	0
05.01.2020 06:00	0,295	0
05.01.2020 07:00	0,421	0
05.01.2020 08:00	0,343	0
05.01.2020 09:00	0,339	0
05.01.2020 10:00	0,279	0,001
05.01.2020 11:00	0,388	0,135
05.01.2020 12:00	0,206	0,31
05.01.2020 13:00	0,676	0,374
05.01.2020 14:00	1,743	0,423
05.01.2020 15:00	1,704	0,122
05.01.2020 16:00	0,777	0,003
05.01.2020 17:00	0,815	0
05.01.2020 18:00	0,63	0
05.01.2020 19:00	1,021	0
05.01.2020 20:00	0,578	0
05.01.2020 21:00	0,85	0
05.01.2020 22:00	0,781	0
05.01.2020 23:00	0,797	0
05.01.2020 00:00	0,68	0
06.01.2020 01:00	1,234	0
06.01.2020 02:00	1,813	0
06.01.2020 03:00	0,502	0
06.01.2020 04:00	0,317	0
06.01.2020 05:00	0,322	0
06.01.2020 06:00	0,395	0
06.01.2020 07:00	0,372	0
06.01.2020 08:00	0,364	0
06.01.2020 09:00	0,311	0,002
06.01.2020 10:00	0,309	0,031
06.01.2020 11:00	0,468	0,144
06.01.2020 12:00	0,303	0,699
06.01.2020 13:00	0,024	0,85
06.01.2020 14:00	0,261	0,37
06.01.2020 15:00	0,742	0,069
06.01.2020 16:00	0,725	0
06.01.2020 17:00	0,614	0
06.01.2020 18:00	0,713	0
06.01.2020 19:00	0,8	0
06.01.2020 20:00	0,731	0
06.01.2020 21:00	0,944	0
06.01.2020 22:00	0,832	0
06.01.2020 23:00	0,765	0
06.01.2020 00:00	1,221	0
07.01.2020 01:00	1,171	0
07.01.2020 02:00	0,3	0
07.01.2020 03:00	0,341	0
07.01.2020 04:00	0,378	0
07.01.2020 05:00	0,286	0
07.01.2020 06:00	0,388	0
07.01.2020 07:00	0,469	0
07.01.2020 08:00	0,959	0
07.01.2020 09:00	0,259	0,386
07.01.2020 10:00	0	2,127
07.01.2020 11:00	0	2,902
07.01.2020 12:00	0	2,87
07.01.2020 13:00	0	2,473
07.01.2020 14:00	0,009	1,352
07.01.2020 15:00	0,349	0,474
07.01.2020 16:00	1,109	0,023
07.01.2020 17:00	2,309	0
07.01.2020 18:00	0,613	0
07.01.2020 19:00	0,632	0
07.01.2020 20:00	0,648	0
07.01.2020 21:00	0,601	0
07.01.2020 22:00	0,524	0
07.01.2020 23:00	0,879	0
07.01.2020 00:00	0,854	0
