id_gry	id_gracza	stan	ocena
66	1	posiada	8
72	1	chce kupic	3
79	1	sprzedal	8
43	2	posiada	9
45	2	chce kupic	7
59	2	sprzedal	9
77	2	posiada	6
78	2	posiada	3
109	2	posiada	8
107	4	posiada	7
131	4	posiada	6
35	5	posiada	5
48	5	posiada	7
54	5	posiada	8
56	5	posiada	7
65	5	posiada	7
73	5	posiada	5
106	5	posiada	7
126	5	sprzedal	8
3	6	sprzedal	7
13	6	sprzedal	7
17	6	sprzedal	5
28	6	sprzedal	7
43	6	sprzedal	7
53	6	sprzedal	9
84	6	sprzedal	9
100	6	chce kupic	2
102	6	chce kupic	6
54	7	chce kupic	10
68	7	chce kupic	10
75	7	posiada	7
84	7	chce kupic	9
102	7	sprzedal	5
45	8	posiada	4
84	8	chce kupic	2
108	8	sprzedal	9
1	9	posiada	3
39	9	sprzedal	5
55	9	sprzedal	9
75	9	chce kupic	8
76	9	chce kupic	4
78	9	chce kupic	3
12	10	chce kupic	10
23	10	posiada	10
94	10	chce kupic	3
1	11	sprzedal	9
32	11	posiada	5
67	11	chce kupic	6
73	11	sprzedal	6
76	11	posiada	6
7	12	posiada	1
82	12	posiada	5
47	13	posiada	4
49	13	chce kupic	6
85	13	sprzedal	7
38	14	posiada	9
62	14	chce kupic	5
70	14	sprzedal	6
72	14	posiada	10
74	14	posiada	10
85	14	posiada	10
93	14	posiada	7
123	14	posiada	7
45	15	posiada	10
92	15	posiada	7
96	15	posiada	9
104	15	posiada	8
120	15	posiada	10
50	16	posiada	9
85	16	posiada	6
130	16	posiada	7
36	17	sprzedal	6
53	17	sprzedal	7
117	17	sprzedal	8
120	17	sprzedal	10
2	18	sprzedal	6
22	18	sprzedal	9
2	19	sprzedal	10
19	19	sprzedal	6
70	19	chce kupic	10
80	19	chce kupic	8
130	19	chce kupic	8
10	20	chce kupic	9
49	20	posiada	7
74	20	chce kupic	8
95	20	sprzedal	10
96	20	posiada	10
92	21	chce kupic	10
105	21	sprzedal	6
18	22	posiada	7
31	22	sprzedal	6
35	22	sprzedal	6
99	22	chce kupic	7
118	22	chce kupic	6
34	23	chce kupic	9
35	23	chce kupic	10
62	23	posiada	7
69	23	chce kupic	6
99	23	sprzedal	8
2	24	posiada	7
93	24	chce kupic	10
97	24	sprzedal	6
29	25	posiada	9
32	25	posiada	10
78	25	posiada	6
102	25	posiada	6
107	25	chce kupic	6
26	26	sprzedal	9
84	26	posiada	10
96	26	chce kupic	6
97	26	posiada	10
30	27	posiada	9
35	27	posiada	10
42	27	posiada	6
95	27	posiada	10
108	27	posiada	9
128	27	posiada	6
58	28	posiada	8
83	28	posiada	9
116	28	posiada	7
2	29	posiada	9
7	29	posiada	8
