data	dostawa_malin	dostawa_truskawek	dostawa_porzeczek
01.05.2020	211	281	88
02.05.2020	393	313	83
03.05.2020	389	315	104
04.05.2020	308	221	119
05.05.2020	387	275	72
06.05.2020	294	366	99
07.05.2020	389	288	87
08.05.2020	259	361	112
09.05.2020	369	233	110
10.05.2020	263	393	75
11.05.2020	239	347	94
12.05.2020	282	338	86
13.05.2020	306	273	75
14.05.2020	251	325	89
15.05.2020	224	352	97
16.05.2020	233	270	94
17.05.2020	345	275	90
18.05.2020	232	228	107
19.05.2020	238	394	105
20.05.2020	378	311	110
21.05.2020	281	354	121
22.05.2020	390	267	124
23.05.2020	308	337	105
24.05.2020	391	238	113
25.05.2020	241	283	140
26.05.2020	249	275	118
27.05.2020	298	263	145
28.05.2020	254	241	149
29.05.2020	329	323	134
30.05.2020	213	221	119
31.05.2020	294	326	145
01.06.2020	225	206	122
02.06.2020	264	355	134
03.06.2020	253	271	142
04.06.2020	352	207	125
05.06.2020	269	248	137
06.06.2020	242	247	125
07.06.2020	327	262	103
08.06.2020	316	253	134
09.06.2020	294	249	137
10.06.2020	270	206	146
11.06.2020	349	301	138
12.06.2020	224	385	138
13.06.2020	309	204	140
14.06.2020	246	275	130
15.06.2020	241	247	166
16.06.2020	365	256	132
17.06.2020	225	392	158
18.06.2020	335	254	173
19.06.2020	376	258	151
20.06.2020	310	248	173
21.06.2020	408	250	242
22.06.2020	256	393	219
23.06.2020	322	425	215
24.06.2020	447	385	212
25.06.2020	408	260	225
26.06.2020	283	396	221
27.06.2020	414	314	220
28.06.2020	442	449	245
29.06.2020	269	370	242
30.06.2020	444	350	236
01.07.2020	425	342	237
02.07.2020	377	290	240
03.07.2020	382	360	203
04.07.2020	287	428	204
05.07.2020	429	394	246
06.07.2020	287	356	233
07.07.2020	421	292	226
08.07.2020	334	353	282
09.07.2020	282	329	262
10.07.2020	356	331	290
11.07.2020	307	394	256
12.07.2020	441	271	292
13.07.2020	407	311	280
14.07.2020	480	342	292
15.07.2020	494	310	275
16.07.2020	493	431	283
17.07.2020	302	415	297
18.07.2020	331	353	373
19.07.2020	486	323	359
20.07.2020	360	331	445
21.07.2020	391	455	427
22.07.2020	327	471	423
23.07.2020	355	490	449
24.07.2020	360	339	470
25.07.2020	303	404	434
26.07.2020	310	332	536
27.07.2020	435	406	421
28.07.2020	344	348	555
29.07.2020	303	335	436
30.07.2020	433	425	422
31.07.2020	350	378	419
01.08.2020	396	466	434
02.08.2020	495	410	418
03.08.2020	420	328	422
04.08.2020	411	481	445
05.08.2020	317	434	411
06.08.2020	342	465	417
07.08.2020	450	318	490
08.08.2020	343	329	345
09.08.2020	287	328	377
10.08.2020	298	401	416
11.08.2020	429	348	426
12.08.2020	417	457	438
13.08.2020	384	330	292
14.08.2020	370	388	390
15.08.2020	436	298	420
16.08.2020	303	429	407
17.08.2020	449	444	425
18.08.2020	300	358	377
19.08.2020	307	417	405
20.08.2020	314	340	345
21.08.2020	379	288	353
22.08.2020	405	454	342
23.08.2020	407	300	365
24.08.2020	432	423	221
25.08.2020	405	449	231
26.08.2020	162	294	255
27.08.2020	297	341	223
28.08.2020	226	329	261
29.08.2020	226	256	239
30.08.2020	287	217	262
31.08.2020	351	266	226
01.09.2020	214	260	241
02.09.2020	282	227	258
03.09.2020	257	251	252
04.09.2020	172	171	268
05.09.2020	197	326	224
06.09.2020	292	329	255
07.09.2020	172	216	199
08.09.2020	258	291	220
09.09.2020	276	347	197
10.09.2020	210	333	218
11.09.2020	168	211	180
12.09.2020	196	348	225
13.09.2020	284	226	197
14.09.2020	162	345	194
15.09.2020	212	184	183
16.09.2020	165	232	202
17.09.2020	163	314	213
18.09.2020	200	307	206
19.09.2020	201	274	210
20.09.2020	269	278	228
21.09.2020	188	195	207
22.09.2020	142	249	202
23.09.2020	232	116	195
24.09.2020	296	102	192
25.09.2020	161	151	216
26.09.2020	162	261	184
27.09.2020	216	147	204
28.09.2020	282	297	195
29.09.2020	214	198	200
30.09.2020	289	290	190
